"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,25,58,42,55,46,44,83,93,51,78,33,22
2007,59,38,18,16,47,59,51,113,79,56,38,18
2008,39,32,18,12,58,43,49,122,115,52,27,47
2009,27,29,21,33,45,38,70,73,80,86,38,75
2010,37,35,17,12,31,16,67,107,101,64,38,35
2011,47,69,45,19,27,32,80,93,87,63,37,38
2012,17,21,22,23,40,25,58,119,138,85,32,50
2013,14,20,49,20,44,36,82,102,87,94,20,41
2014,24,22,26,59,62,53,54,127,147,58,55,32
2015,17,37,41,20,54,35,73,104,83,58,19,29
2016,45,29,32,28,42,50,61,114,88,31,44,45
2017,21,34,20,10,51,36,65,134,84,52,31,33
2018,31,23,47,45,48,35,91,132,101,53,49,63
2019,48,28,18,20,25,56,118,109,118,50,62,47
2020,36,16,44,11,56,45,73,136,58,59,39,27
2021,26,37,69,16,46,49,61,127,88,83,59,49
2022,16,27,47,26,33,47,109,162,82,84,56,24
2023,32,51,18,20,35,39,77,92,31,55,37,28
2024,21,22,11,18,22,59,56,215,83,52,62,44
2025,36,30,15,26,22,57,71,162,80,78,47,19
2026,47,45,29,27,29,35,69,109,85,70,31,26
2027,28,27,39,25,50,35,89,136,88,32,51,33
2028,24,25,43,34,41,53,78,142,45,43,20,35
2029,65,29,16,27,21,54,85,149,103,85,46,44
2030,45,38,57,26,53,31,82,41,116,61,36,35
2031,34,46,40,28,15,37,85,119,81,116,49,31
2032,23,14,14,20,27,27,91,93,100,85,53,39
2033,44,30,50,24,45,55,76,115,84,72,42,45
2034,31,44,45,29,35,69,76,108,57,73,25,66
2035,37,28,32,37,23,39,77,156,76,88,45,36
2036,58,32,15,16,22,30,115,141,79,49,62,42
2037,33,53,12,24,39,38,63,110,67,31,49,48
2038,26,27,27,25,51,32,65,143,65,50,51,31
2039,21,50,23,15,30,28,97,106,80,46,35,21
2040,30,29,15,31,43,49,54,108,105,63,58,50
2041,26,29,35,27,27,27,48,60,63,72,42,9
2042,12,25,40,45,29,17,30,113,51,61,43,29
2043,6,23,16,26,15,26,57,120,116,38,48,18
2044,50,32,57,28,53,29,68,191,99,34,38,28
2045,34,37,49,18,40,45,74,140,106,58,47,28
2046,30,46,29,48,63,33,94,110,51,58,34,32
2047,33,49,48,37,48,31,73,114,98,59,48,34
2048,37,30,32,30,16,62,98,145,80,54,22,31
2049,45,31,38,12,39,60,108,177,112,91,33,29
2050,53,18,27,36,38,45,31,40,54,76,30,67
2051,43,42,40,31,18,46,118,80,123,60,31,32
2052,33,39,19,38,47,40,68,154,102,48,49,66
2053,22,23,36,17,49,66,108,104,98,50,53,29
2054,36,58,28,31,68,44,91,186,73,86,64,62
2055,42,55,45,54,26,43,111,129,117,111,57,32
2056,27,23,29,22,40,44,95,99,108,50,55,62
2057,21,39,45,25,32,34,55,143,98,74,43,35
2058,39,25,34,26,44,65,62,138,126,97,65,39
2059,75,59,34,30,17,35,84,153,108,95,27,35
2060,35,23,41,11,58,39,71,116,63,90,32,23
2061,66,54,52,47,42,64,90,54,56,67,55,40
2062,48,53,57,41,43,54,79,97,110,106,68,89
2063,57,34,22,21,74,44,48,88,97,41,27,35
2064,42,31,56,15,50,66,91,138,98,92,39,50
2065,45,17,46,20,50,30,87,124,66,85,34,81
2066,59,46,47,22,75,71,100,142,138,33,66,65
2067,71,42,52,32,32,64,47,174,95,31,47,33
2068,37,44,30,31,54,51,94,77,81,60,49,23
2069,25,37,18,23,30,38,138,173,94,62,49,30
2070,37,54,41,34,23,40,66,131,113,95,46,34
2071,31,29,34,47,35,48,90,126,79,60,51,52
2072,48,71,27,27,36,55,69,122,88,81,63,40
2073,33,35,36,46,39,35,57,121,114,79,43,39
2074,51,19,13,39,82,49,88,132,97,95,53,34
2075,52,29,29,45,47,52,78,108,81,50,42,34
2076,36,23,23,35,48,42,100,159,132,80,50,23
2077,25,10,24,28,65,46,82,112,123,107,33,26
2078,47,31,25,22,37,49,84,155,51,53,19,38
2079,25,62,23,15,50,24,107,136,140,76,36,52
2080,82,22,25,43,29,46,87,180,62,32,59,35
2081,44,34,25,11,36,34,65,152,64,75,60,41
2082,31,41,55,54,67,63,86,134,84,62,35,72
2083,27,27,23,36,27,21,94,114,77,61,48,37
2084,19,40,40,47,70,72,81,113,99,115,73,75
2085,93,40,30,12,46,92,99,124,121,69,44,68
2086,48,25,16,19,18,34,69,101,63,70,75,41
2087,34,27,31,26,60,19,87,138,112,83,53,42
2088,19,61,39,31,50,48,106,94,146,58,55,68
2089,39,43,33,40,37,55,106,144,116,61,32,49
2090,34,67,30,36,49,63,95,112,86,91,59,64
2091,62,40,64,39,49,32,113,174,102,55,29,45
2092,47,36,68,36,24,36,83,153,72,90,20,31
2093,20,36,46,15,41,38,80,125,101,35,52,40
2094,45,73,71,51,39,55,88,128,119,74,65,92
2095,23,33,52,48,39,65,93,139,128,61,43,28
2096,33,27,51,57,73,40,96,165,120,57,71,35
2097,38,50,39,45,33,33,123,216,126,74,54,60
2098,22,70,32,24,40,46,99,138,136,57,72,81
2099,52,17,28,27,50,63,68,180,117,86,57,31
2100,72,28,34,35,44,37,85,139,90,59,47,45
