"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,14,34,24,35,24,26,59,54,37,44,22,20
2007,26,19,16,8,25,37,37,77,40,34,23,12
2008,23,15,17,11,27,27,43,77,69,34,17,30
2009,14,16,10,20,23,35,47,46,53,49,21,50
2010,20,19,13,9,21,8,45,53,46,39,19,24
2011,20,36,22,12,10,20,48,51,41,33,20,19
2012,12,18,20,18,23,14,34,73,80,59,24,44
2013,11,9,27,13,21,25,52,48,55,54,17,20
2014,11,13,11,39,32,26,38,70,82,39,49,24
2015,13,16,18,8,18,23,50,75,45,30,15,24
2016,28,16,18,13,20,36,46,52,51,28,20,26
2017,12,18,11,9,20,20,45,81,33,42,17,24
2018,11,16,25,30,23,23,56,75,56,37,25,36
2019,26,16,14,14,16,28,87,71,65,25,32,30
2020,19,17,25,8,25,28,50,104,27,33,24,22
2021,20,21,33,9,22,42,33,89,50,49,30,34
2022,13,11,34,19,17,37,78,106,46,56,47,19
2023,14,33,11,21,22,29,55,54,20,29,19,22
2024,11,12,5,12,13,48,32,119,44,21,37,38
2025,21,15,8,13,11,35,41,87,34,53,27,23
2026,23,28,14,15,15,21,40,58,51,31,20,15
2027,23,15,21,19,21,21,61,79,58,32,32,23
2028,11,11,21,25,14,39,58,91,26,33,11,25
2029,36,28,13,15,10,30,55,102,60,39,28,34
2030,29,18,26,19,22,15,59,16,64,27,22,25
2031,20,20,16,24,8,29,61,66,45,64,29,26
2032,16,9,6,20,15,16,59,59,55,61,31,33
2033,26,13,28,15,15,33,53,57,54,46,27,30
2034,21,19,20,27,13,34,58,75,40,49,19,47
2035,29,14,15,19,11,24,42,91,43,49,22,27
2036,32,16,12,17,10,20,76,83,44,24,43,26
2037,19,30,7,23,21,29,65,62,31,19,32,29
2038,17,16,16,17,21,16,49,86,43,32,28,28
2039,15,22,10,9,14,16,57,60,52,28,20,16
2040,24,11,12,13,19,34,28,64,60,34,43,28
2041,16,14,19,12,13,17,29,51,38,44,21,6
2042,9,11,16,37,22,17,23,80,39,40,27,16
2043,4,15,11,16,7,11,36,56,70,27,28,18
2044,27,12,26,21,21,19,45,140,57,20,19,22
2045,20,21,20,16,21,27,43,101,70,36,28,17
2046,18,22,11,31,30,21,74,73,39,29,20,20
2047,16,19,29,21,29,19,48,66,50,43,33,19
2048,29,19,16,19,7,46,71,76,43,25,16,21
2049,25,18,21,7,19,39,77,121,66,51,22,19
2050,28,11,18,21,13,29,22,26,29,43,21,46
2051,25,19,19,25,9,26,86,49,65,31,19,23
2052,18,18,10,19,23,23,39,80,64,32,32,47
2053,20,16,19,11,20,43,71,69,57,19,35,34
2054,19,34,18,22,35,33,56,102,48,59,41,36
2055,26,25,18,40,16,34,81,72,73,67,34,25
2056,15,12,13,14,21,29,73,50,68,32,34,42
2057,16,26,23,16,18,22,36,88,50,54,28,31
2058,22,11,13,14,18,37,49,71,57,64,32,24
2059,44,33,23,21,19,25,59,89,57,54,19,30
2060,15,11,27,10,26,23,50,73,37,54,27,15
2061,36,25,28,35,21,36,53,40,40,55,35,37
2062,24,28,25,28,24,32,49,55,58,66,37,69
2063,43,19,18,14,42,28,45,49,60,31,24,24
2064,20,14,28,8,31,38,57,87,59,48,18,37
2065,33,17,28,16,28,24,67,58,36,50,26,52
2066,38,31,19,17,37,52,72,94,69,27,39,47
2067,40,21,39,22,27,37,35,97,49,24,25,18
2068,19,20,16,23,27,32,66,83,57,30,28,14
2069,17,19,10,21,16,39,96,97,48,42,35,24
2070,19,35,17,24,17,28,47,94,63,62,30,22
2071,15,19,21,28,18,33,57,103,46,29,28,34
2072,24,32,15,15,14,30,56,63,49,49,40,25
2073,18,19,17,31,19,20,45,74,73,41,32,30
2074,28,17,9,29,35,31,61,86,54,71,31,30
2075,31,20,18,26,24,44,55,72,40,32,27,25
2076,19,9,10,18,26,31,54,71,89,47,30,21
2077,22,12,11,18,25,32,54,84,70,64,24,24
2078,29,19,13,24,20,33,56,90,32,34,19,17
2079,16,31,13,10,15,10,71,93,81,44,25,43
2080,54,16,16,22,16,43,66,94,37,25,40,28
2081,27,19,10,11,21,28,58,63,34,46,36,23
2082,19,23,26,34,30,41,67,81,51,42,22,56
2083,29,17,11,23,25,17,68,68,44,42,35,26
2084,16,29,16,25,35,50,54,65,51,70,36,47
2085,57,23,19,12,20,66,68,89,64,44,22,45
2086,23,22,8,20,10,21,42,54,42,41,33,31
2087,32,18,16,20,29,13,64,90,68,57,33,28
2088,15,41,19,18,19,28,88,60,80,40,42,40
2089,24,25,15,23,19,45,77,88,71,42,28,28
2090,32,27,22,33,28,36,77,87,55,56,41,44
2091,42,22,28,35,24,26,88,91,60,45,14,38
2092,30,22,40,31,16,25,51,97,44,54,23,15
2093,14,20,19,12,17,27,73,82,48,28,31,31
2094,32,36,27,37,23,51,85,81,57,50,37,57
2095,16,18,28,39,19,45,71,92,78,33,20,23
2096,17,14,18,35,45,28,69,96,55,36,35,25
2097,24,30,22,30,15,25,82,107,74,50,37,38
2098,12,34,14,12,19,45,64,108,79,41,40,60
2099,31,12,27,16,28,46,46,91,63,63,33,24
2100,56,17,17,18,29,22,53,102,41,36,29,24
