"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2062,-7.6,-13.9,-14.8,-4.5,3.6,11,15.1,14.8,6.2,-3.4,-7.3,-5.7
2063,-10.4,-11.2,-7.3,-5.5,1.1,10.9,14.3,13.7,8.4,1.9,-4,-12.2
2064,-19.6,-20.2,-9.7,-9.9,2.7,11.5,14.8,13,8.4,-4.8,-9.7,-22.5
2065,-11.7,-14.9,-18.1,-7.5,0.6,10.2,13.3,13.3,8.6,-2.8,-7.7,-10.9
2066,-14.2,-18.1,-12.2,-5.5,1.9,10.5,14.2,13.5,5.8,-2.5,-5.1,-9.2
2067,-20.9,-21.1,-13.1,-11.1,1.8,9.4,13.1,13.1,6.2,-3.1,-8.3,-8.9
2068,-13.7,-18.7,-16,-12.5,1.9,10.4,14,13.2,7.1,-1.4,-12.4,-15.3
2069,-18.9,-14.1,-10.5,-11,1.6,10.1,13.1,11.4,6.3,-2.8,-9.6,-12.9
2070,-10,-10.8,-10.4,-5.3,2.1,10.6,13.9,14.3,8.4,-4.2,-9.4,-10
2071,-15.7,-22.6,-14.9,-11.1,2.9,10.6,14.4,13.9,6.9,-4.1,-13.9,-13.4
2072,-14.2,-11.9,-11,-9.2,2.7,10.5,13.3,12.5,7.1,-1.5,-9.1,-16
2073,-10.1,-10.1,-10.3,-11.2,0.5,10.7,14.4,14,9.3,0,-7,-18.5
2074,-9.4,-14.8,-16.3,-8.6,2.7,10.4,13.8,14.2,7.8,-1.5,-10.3,-14.6
2075,-15,-15.1,-15.9,-11.4,1.7,7.9,13.3,12.4,5.9,-2.4,-10.4,-10.3
2076,-15.3,-21.6,-12.6,-9.4,0.8,9.4,14.4,13.3,8.3,-3.6,-6.9,-7.5
2077,-8.5,-8.9,-15.2,-7.9,2.4,11.7,14.6,13.9,7.8,-2.4,-7.9,-11.1
2078,-11.2,-22.1,-12.7,-10.6,1.7,8.3,13.8,13.6,7.6,0.9,-10.5,-14.7
2079,-17.7,-23.4,-11.6,-12.8,3.7,9.8,13.1,12.2,6.6,-3.4,-7.6,-14.6
2080,-11.2,-14,-10.7,-4.2,2.7,10.2,16.1,15.1,8.2,-1.4,-9,-11.6
2081,-11.6,-18.7,-9.1,-7.6,3.1,11.5,15.9,12.5,7,-1.2,-5.8,-10
2082,-16.5,-9.9,-12,-7.8,2.1,11.1,16.1,14.4,6.7,-1.2,-7.5,-10.7
2083,-12,-13.3,-10.4,-9.7,1,10.2,12.3,11.2,6.3,-3.5,-8.1,-8.8
2084,-9.2,-17.7,-8.9,-6.6,2.8,10.7,15.5,15.7,9,-3.4,-7.1,-11.6
2085,-13.3,-14.2,-14.9,-8.6,2.4,11.8,15.4,14.1,7.1,-0.5,-6.9,-8.5
