"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2062,-19.8,-17,-12.4,-12,2.4,10.8,12.4,11.3,4.1,-5.3,-10.7,-14.2
2063,-18.3,-17,-13.3,-5.9,1.4,9.1,13,11.9,5.2,-6.3,-12.3,-15.4
2064,-20.4,-14.1,-13,-9.5,2.4,9.5,12.7,13.1,7.9,-3.3,-13,-19.9
2065,-16.9,-14.6,-17.7,-8.1,4.2,10.7,14.6,12.6,4.9,-4.3,-8.7,-17.7
2066,-16.2,-16.5,-13.2,-9.5,3.7,9.5,13.7,12.3,5.9,-6.1,-11.9,-18.8
2067,-17.9,-20.7,-15.8,-13.9,4.1,12.2,12.1,11.3,5.7,-4.1,-9.9,-14.2
2068,-19.2,-19.5,-16.4,-10.7,2.5,11.5,13.8,10.5,5.8,-4.5,-11,-14.1
2069,-10.4,-15,-13.8,-7.2,2.9,11.8,15.6,14.1,6.8,-4.8,-12.2,-16.2
2070,-20.5,-15.5,-13.1,-8.2,1.7,9.9,14.3,12,7.5,-4.3,-11.2,-16.8
2071,-16.6,-20,-13.4,-10.6,3.6,11.3,13.1,10.9,6,-3.5,-12.4,-14.4
2072,-16.9,-26.5,-14.5,-13.2,1.8,8.2,14.4,12.4,4.6,-7.4,-14.2,-22.2
2073,-18.5,-27.8,-20.8,-11.3,1.2,10.1,15.4,11.2,3.6,-4.6,-11.8,-15.4
2074,-17.4,-18.3,-14.1,-9.8,-0.7,11.6,13.5,10.8,6.3,-5,-11,-15.5
2075,-19.7,-15.6,-16.2,-9.7,0.4,11.3,13.5,12.1,6.6,-5.8,-13.3,-23.9
2076,-10.7,-13.4,-20.4,-8.5,2.6,10.8,15.4,12.9,5.9,-4.2,-13.5,-20.7
2077,-13.8,-18.7,-12.9,-6.5,5.4,11,14.8,13.9,7.2,-2.8,-11.2,-12.4
2078,-23,-16.1,-12.6,-12.4,0.9,10.8,12.8,12.7,7.3,-6.3,-17,-16.9
2079,-13.7,-24,-18.9,-12.6,0.3,10.4,11.2,10.4,4.9,-5.6,-15.5,-17.8
2080,-18,-17.2,-14.7,-7.9,3.5,10.4,14.4,11.3,6.9,-3,-12.9,-18.1
2081,-20.2,-16,-16.1,-10.1,2,12.5,13,13,6.5,-2.9,-11,-14.5
2082,-17.6,-16.8,-16.5,-7.6,2.9,10.2,13.8,9.5,3.4,-6.1,-17.8,-17.9
2083,-23.4,-18.7,-13.8,-11.7,1.9,11.8,15,10.6,4.1,-6.9,-9.8,-13.7
2084,-10.8,-13,-14.8,-12,2.4,10.5,14.2,14,4.9,-6.7,-16,-21.4
2085,-18.9,-16.2,-14.8,-8.5,2.3,10.7,12,11,5.2,-1.6,-7.5,-18.3
2086,-22.1,-25.6,-14.6,-8.9,2.3,9.5,14.2,12.6,5.7,-2.7,-10.4,-13.9
2087,-14.5,-19.1,-14.3,-10.6,0.7,9.8,16.1,13.4,6.1,-2.7,-14,-15
2088,-21.6,-15.5,-11.1,-8.1,2.4,9.5,13.2,12.4,5.6,-5.6,-14.2,-21.6
2089,-16.3,-23,-17.7,-9.7,4,11.1,12.3,11.2,6.6,-3.5,-10.2,-16.3
2090,-16.1,-22.1,-18.5,-10.7,0.2,9.5,12.3,11.8,3.3,-7.5,-15.1,-21.7
2091,-19.1,-21,-18.5,-12.6,0.7,8.7,14.6,13,4.3,-2.8,-13.5,-18.2
2092,-16.4,-15.1,-12,-12.2,0.3,10.9,10.8,10.2,5,-5.1,-12.1,-16
2093,-15,-12.6,-12.6,-10.6,3.7,11.7,15.8,11.5,3.2,-3.9,-16.7,-17.8
2094,-13.4,-14,-16.1,-9.3,0.7,9.6,12.9,12.5,5.2,-4.7,-11.5,-14.8
2095,-16,-16.3,-15.3,-11.5,1.6,10.7,14.8,12,4,-5.2,-8.4,-12.6
2096,-16.9,-19.9,-14.7,-11.2,-0.5,9.3,12.8,12.3,7.1,-3,-10,-12.1
2097,-19.2,-22.5,-12.8,-9.7,3,10.5,15.5,13.1,5.7,-5.4,-11.4,-12.4
2098,-15.3,-21.1,-20,-10.9,0.7,10.3,13.7,11.5,4.5,-4.7,-12.6,-12.1
2099,-20.2,-16.5,-14.3,-14.2,2.6,9.7,15.2,12.9,7.1,-5.1,-10.1,-23.4
2100,-15.1,-18.3,-15.6,-11.4,2.4,10,12.9,13.4,7.5,-5.3,-12,-23.1
