"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2062,-15.6,-10.9,-6.9,-2.4,8.7,14.6,15.3,14.2,7.3,-2.4,-10.3,-10
2063,-19,-10.8,-7.3,1.5,8.3,13.6,16.2,13.6,8.4,-3,-8.7,-13.4
2064,-16,-10.1,-4.4,-1.2,7.9,12.9,16,15.1,10.6,-0.2,-11,-21.5
2065,-13.7,-8.7,-10.8,0.6,9.8,14.3,16.9,14.5,7.7,-1.4,-5.7,-14.1
2066,-11.9,-11,-7,-1.2,9.5,12.9,16.2,14.9,9.1,-3.6,-11.8,-18.7
2067,-15.9,-12.8,-7.1,-4.7,9.7,14.7,14.5,13.5,9.1,-2.4,-6.5,-11.8
2068,-16.7,-13.3,-8.2,-1,9.1,15.6,16.6,13.1,9.4,-0.8,-7.5,-12.2
2069,-8.9,-9.4,-7.6,-0.1,8.3,17.1,17.7,15.9,8.9,-1.1,-9.5,-14.4
2070,-15,-9.3,-5,1.3,7.7,13.9,18.1,13.6,9.6,-2.3,-12.9,-13.7
2071,-14.7,-14,-7.3,-1.9,7.7,14.7,16.1,13.1,8.2,-0.2,-8.5,-12.8
2072,-13.7,-19.8,-6.1,-3.2,6.9,12.4,16.4,13.8,7.2,-4.3,-11.4,-21.1
2073,-15.4,-23.6,-12.8,-1.8,8.2,14.7,18.6,14.1,7.1,-2.1,-11,-14.1
2074,-13.4,-11.5,-6.3,-0.1,6.3,14.3,15.8,13.2,8.1,-2.3,-8.5,-11.8
2075,-16.6,-10.2,-7.8,-0.6,7.9,15.3,16.4,14.2,9.3,-3.7,-9.6,-21.6
2076,-8.4,-7.8,-9.7,0.8,8.5,13.2,17.7,14.7,9.4,-1.4,-12.4,-15.4
2077,-10.1,-13.6,-6.4,0.6,10.3,14.5,16,14.2,8.7,-0.4,-9,-9.4
2078,-23.4,-10.7,-5.1,-2.2,7.6,13.4,15.7,14.7,8.7,-2.9,-15.8,-12.8
2079,-12.6,-17.7,-10.6,-3.5,7.6,13.9,14.3,13.4,7.6,-1.7,-10.7,-13
2080,-15.4,-10.7,-7.4,0.7,9.3,13.7,17.8,13.3,9.4,-0.4,-9.6,-15.9
2081,-18.9,-10,-6.4,-1.2,9.3,15.8,16.1,15.3,8.9,-0.1,-8.2,-12.4
2082,-14.9,-11.1,-8.6,0.7,8.9,14.3,16.5,13,6.6,-2.8,-15.7,-16.3
2083,-21,-11.5,-8.5,-1.1,9.1,15.5,17.2,13.3,6.4,-4.2,-8.3,-13
2084,-8.9,-8.5,-6.6,-2.1,7.5,13.3,15.5,14.7,7.6,-4.6,-14.6,-16.7
2085,-15.6,-13.4,-8.1,-0.8,7.7,13.4,15.2,13.6,8.1,1,-4.8,-14.8
2086,-21.6,-20.1,-9.5,-2.3,7.7,13.3,17.1,14.3,8,0,-8.8,-10.4
2087,-14.6,-15.6,-8.7,-1.1,7.3,13.6,18.6,14.5,7.6,-0.5,-13,-14
2088,-18.2,-8.6,-5.2,-0.3,9.8,13.8,16.2,15.5,8.4,-3.3,-14.4,-17.1
2089,-14.9,-16.8,-10.9,0.1,9.3,14,15.6,13.8,9,0,-9.4,-14.6
2090,-14.8,-17.8,-10.7,-1.9,6.9,13.1,15.4,14,6,-4.2,-12.3,-19.2
2091,-14.8,-16.1,-11.1,-3.9,8.1,12.3,17.2,14.8,7.5,-1,-13.2,-17.4
2092,-9.7,-8.8,-5.9,-2.3,7.1,14.8,14.2,12.9,8.5,-1.5,-11.1,-13.5
2093,-12,-8.5,-4.5,-1,9.1,16.4,17.7,13.1,7.1,-0.6,-15.1,-17.1
2094,-10.6,-9.7,-9.6,-0.9,7.4,15.3,15.2,14.2,7.8,-2.4,-8.1,-13.3
2095,-12.5,-8.8,-6.1,-3.4,8,14.4,18.1,13.7,6.5,-2.3,-4.9,-9
2096,-12,-14.3,-6.5,-1.4,6.3,11.9,15.4,14.8,9.3,0.3,-9.2,-10.8
2097,-15.4,-18.8,-5.7,-0.9,8.5,13.9,18.6,15.4,8,-2,-9.8,-9.8
2098,-13.4,-17.6,-11.9,-1.1,7,13.1,17.4,13.6,7.7,-2.2,-10,-10.9
2099,-20,-8.4,-4.3,-5,8.7,13.3,17.9,15.3,9.2,-2.3,-8.1,-22
2100,-11.4,-11.4,-7.4,-2.1,10.5,14.5,15.8,17.2,10.1,-1.9,-10.9,-20.8
