"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,47,28,54,15,43,22,66,127,52,55,22,25
2007,39,36,24,16,40,40,53,155,71,98,43,52
2008,20,57,30,15,35,45,85,78,77,82,31,48
2009,27,39,42,31,35,24,99,151,85,49,54,61
2010,33,20,16,17,14,37,108,107,88,48,37,47
2011,31,40,16,20,28,29,64,91,105,84,52,26
2012,40,25,30,23,49,15,93,134,88,70,40,21
2013,31,21,25,14,31,41,94,157,82,54,60,63
2014,55,28,18,16,30,36,96,115,96,55,27,33
2015,45,55,27,26,14,45,81,133,105,62,61,22
2016,23,36,32,26,38,25,53,104,93,86,74,20
2017,29,31,18,17,30,28,75,63,121,96,40,39
2018,36,35,33,18,42,47,96,71,73,48,52,32
2019,15,38,18,32,51,56,68,117,111,40,68,40
2020,39,49,51,29,38,41,87,88,75,85,33,31
2021,31,22,32,19,43,57,73,160,98,67,26,28
2022,28,37,35,21,43,23,69,106,84,88,41,30
2023,29,30,29,42,41,51,75,134,83,59,43,29
2024,50,35,26,8,28,39,41,52,78,14,42,48
2025,59,30,25,34,38,33,94,134,69,49,33,33
2026,35,22,24,15,23,45,68,127,70,82,62,33
2027,30,29,38,19,38,44,68,134,43,46,42,47
2028,24,21,22,21,15,24,65,105,96,52,19,20
2029,34,64,38,30,42,27,111,132,37,53,44,60
2030,25,47,41,40,31,36,65,156,63,83,30,52
2031,17,31,35,40,20,33,86,159,87,66,48,23
2032,66,42,49,32,40,38,77,140,63,33,41,20
2033,26,38,42,24,34,63,107,77,75,64,19,64
2034,16,49,24,19,38,24,81,120,100,57,23,26
2035,28,32,31,14,46,65,104,94,84,64,38,57
2036,36,42,36,11,50,28,80,137,91,80,33,39
2037,40,22,45,21,24,22,54,122,91,37,69,31
2038,49,26,35,17,48,34,83,76,41,33,68,60
2039,42,48,22,13,55,18,50,127,87,67,43,19
2040,29,26,23,20,16,39,64,148,111,35,33,47
2041,17,33,47,27,42,15,47,118,41,67,51,30
2042,38,28,15,46,27,56,108,118,76,41,39,50
2043,42,61,55,44,53,49,40,62,96,67,34,26
2044,24,43,24,22,27,40,111,123,64,85,74,42
2045,48,19,34,27,25,37,78,124,86,46,62,27
2046,55,27,35,40,38,43,45,146,83,45,59,52
2047,46,70,54,45,28,30,99,160,72,47,22,34
2048,22,32,23,14,53,64,90,137,75,61,46,22
2049,62,27,31,36,23,52,60,174,84,62,35,40
2050,28,30,18,17,43,36,79,155,72,69,33,42
2051,61,51,72,38,18,30,53,111,78,56,37,30
2052,49,42,27,33,49,32,68,122,107,78,44,32
2053,50,28,28,15,32,52,72,82,89,44,35,21
2054,36,16,44,40,44,36,71,163,46,56,30,38
2055,8,29,19,32,40,51,83,150,89,54,30,26
2056,20,29,38,30,48,40,52,89,111,53,36,31
2057,25,19,14,21,18,76,106,112,73,52,39,24
2058,36,65,64,37,39,42,95,112,88,65,11,23
2059,41,56,26,33,73,75,76,184,97,54,55,40
2060,43,19,33,28,70,54,123,145,104,57,46,59
2061,37,24,42,29,44,45,69,145,84,37,43,37
2062,29,9,42,21,42,64,93,153,122,43,57,27
2063,30,36,59,32,29,38,97,128,138,45,47,50
2064,23,33,26,31,48,52,89,105,94,42,50,30
2065,19,41,21,48,45,31,71,78,100,67,63,34
2066,48,23,16,32,30,20,86,126,118,46,67,45
2067,41,47,33,15,32,49,80,141,137,54,29,40
2068,55,37,42,35,41,23,71,83,89,102,44,55
2069,47,37,35,29,38,43,80,142,99,90,69,76
2070,42,48,45,22,33,65,71,151,87,63,35,36
2071,26,56,10,19,16,45,110,105,99,79,40,37
2072,48,13,48,45,27,50,71,100,80,43,28,44
2073,30,18,44,44,30,41,78,89,79,56,32,64
2074,29,13,35,39,17,71,62,124,116,53,76,49
2075,40,54,22,19,35,34,77,108,87,67,87,50
2076,49,27,62,52,56,26,32,128,60,48,65,46
2077,31,29,32,22,44,32,65,115,77,50,65,61
2078,55,19,30,23,29,22,84,131,121,68,24,27
2079,28,70,16,20,62,47,80,146,101,89,56,76
2080,47,40,36,42,23,51,56,94,108,58,39,35
2081,26,26,33,38,23,54,60,57,91,94,48,24
2082,57,55,53,24,85,50,68,99,101,95,72,21
2083,42,14,41,34,47,45,69,91,118,42,30,33
2084,17,26,15,18,29,39,89,121,122,33,74,44
2085,19,31,48,21,36,65,97,157,106,58,30,32
2086,29,37,29,11,50,64,44,102,57,71,24,26
2087,30,42,37,22,16,24,67,141,52,58,37,61
2088,32,36,42,17,53,76,78,145,140,50,55,29
2089,12,34,19,47,45,41,65,106,48,60,45,17
2090,43,28,35,25,33,31,91,121,116,41,61,49
2091,37,34,34,56,43,53,79,151,115,76,25,70
2092,17,49,58,59,32,40,39,118,85,33,31,57
2093,36,39,54,39,49,55,91,76,109,76,19,35
2094,30,31,44,25,60,53,67,99,99,76,52,62
2095,21,40,50,32,10,29,76,152,101,65,39,44
2096,35,39,23,41,27,26,39,123,111,52,31,26
2097,35,33,16,39,29,48,88,159,101,89,71,28
2098,41,16,28,32,19,43,91,95,85,69,58,24
2099,30,36,52,12,21,34,79,131,114,73,36,39
2100,36,40,22,26,41,84,104,146,72,34,39,28
