"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2063,-8.5,-14.4,-5.2,-4,6.1,12.2,16.2,16.5,11.1,3.8,-4.7,-6.6
2064,-10.7,-12,-9.2,-3.7,7,11.6,14.7,13.3,9.7,2.9,-3.5,-3.5
2065,-5.7,-9.5,-8.6,-6.2,3,14.7,16.6,14.9,11.4,2.1,-4.1,-4.9
2066,-9.7,-12.6,-12.6,-2.7,2.8,13.5,16,16.4,11.2,-0.6,-6.3,-11.7
2067,-13.4,-15.6,-11,-7.8,0.2,12.3,15.2,11.6,8,2,-3.4,-9.8
2068,-11.5,-10.5,-6.2,0.2,6,13.5,17.4,15,10.2,3.6,-1.3,-7.8
2069,-10.7,-9.2,-7.9,-3.7,4,13,16.6,12.6,8.2,0.6,-4.4,-10.3
2070,-11.3,-15.4,-11.3,-1.2,5.5,14.2,17.5,16.6,10.8,2.2,-4,-5.3
2071,-9.5,-4.9,-5.2,-3.5,5.6,11.7,14.6,14.6,9.2,1.5,-2,-7.5
2072,-4.3,-6.4,-5.8,-3.6,5.2,13,17.6,14.4,11.2,1.9,-3.4,-6.6
2073,-7.4,-7,-8.4,-1.1,7.4,14.3,18.5,16.1,9.8,3.8,-0.3,-8
2074,-8,-9.8,-8.3,-1.4,5.4,13.3,17,13.8,10.9,-0.6,-5.8,-6.9
2075,-7.6,-5.9,-7.2,-3.5,5.9,12.8,16.6,14.9,9.3,0.4,-0.7,-7.3
2076,-12.4,-8.6,-4.9,-2.6,4.5,12.3,15.7,16.3,9,2.6,-6.2,-6.6
2077,-7.4,-8,-5.4,-2.5,7.9,11.1,16.9,16.7,10.7,2.4,-3.6,-6.3
2078,-10.7,-8.8,-12.4,-7.4,2.5,12.7,15.6,12.8,9.1,-1.7,-4.6,-9.7
2079,-8.1,-9.4,-6.1,-0.5,6.9,14.3,16.6,13.1,9.9,2.6,-2.3,-2.9
2080,-7.3,-13.7,-4.3,-0.9,8.7,13.7,17.9,15.7,9.7,3.4,-3.2,-7.4
2081,-6.4,-13.5,-10,-4.4,2.9,14.5,16.1,12.5,7.9,2.5,-1,-7
2082,-14.2,-9.4,-8.4,-3.4,5.5,13.1,14.9,15.1,8.8,0.4,-4.6,-9.8
2083,-11.6,-8,-9.1,-2.9,7.3,12.6,17.6,17.1,10.6,1.4,-2.1,-6
2084,-10.6,-9.1,-10.7,-1.9,5,14.7,16.2,17,12.1,0.5,-3.9,-7.3
2085,-6,-13.4,-8.2,0.2,7.5,13.3,15.8,16.9,9.7,1.1,-3.6,-8.1
2086,-10.2,-5.6,-7,-1.1,6.5,14.3,15.5,15.2,9.8,1.4,-3,-5.4
2087,-12.2,-12.9,-8.4,-1.4,6.3,12.5,15.4,13.4,10.8,1.8,-5.5,-6.8
2088,-10.6,-10.8,-14.6,-3.9,6.1,11,16,13.3,9.9,1.1,-4.7,-6.8
2089,-11.1,-13.5,-12.5,-4.6,4.5,14.2,16.5,14.4,9.8,3.1,-2.7,-4.7
2090,-5.6,-9,-12.5,-2.5,4.8,12.6,16.7,13.8,9.5,2.8,-2.7,-3.4
2091,-10.4,-8,-10.5,-1.1,4.3,12.4,15.9,13.2,9.8,3,-1.8,-6.2
2092,-7.8,-8.2,-11.8,-1.6,7.1,14,17.5,13.4,10.5,2.7,-3.1,-8.1
2093,-9.2,-12.2,-6.5,-4.5,4.9,14.9,16.7,15.8,8.7,0.6,-2.2,-6.2
2094,-9.1,-6.3,-5.7,-4.1,2.7,12.6,17.5,14.9,10.4,1.7,-5,-5
2095,-10.3,-8.1,-7.4,-2.8,5,13.3,16.6,15,11.6,3.3,-3.7,-8.5
2096,-9.3,-10.5,-4.6,0.2,6,14,16.1,12.6,9,1.9,-2.3,-5.8
2097,-5.9,-7.1,-6.6,-1.4,6.6,15.1,16.9,14.5,10.2,3.3,-4.2,-6.4
2098,-9.6,-10.7,-7.4,0.3,6.4,14,17.4,15.8,8.9,3.5,-1.8,-6.9
2099,-8.9,-11,-6.6,-0.9,5.6,11.4,15.5,14.8,10.5,4.6,-4.2,-5
2100,-7,-6.9,-9.9,-6.6,4.8,12.8,15.3,14.2,9.5,0.6,-2.1,-9.6
